Percentage served,Time in ms
0,0.620
1,1.241
2,1.387
3,2.064
4,2.167
5,2.817
6,2.891
7,2.894
8,2.917
9,2.977
10,2.985
11,3.150
12,3.352
13,3.360
14,3.447
15,3.451
16,3.713
17,3.883
18,3.930
19,3.971
20,4.106
21,4.151
22,4.157
23,4.254
24,4.455
25,4.482
26,4.611
27,4.697
28,4.809
29,4.810
30,4.867
31,5.187
32,5.252
33,5.261
34,5.278
35,5.282
36,5.407
37,5.473
38,5.479
39,5.552
40,5.643
41,5.791
42,5.823
43,5.851
44,6.205
45,6.300
46,6.318
47,6.525
48,6.606
49,6.637
50,6.717
51,7.047
52,7.053
53,7.081
54,7.646
55,7.830
56,7.950
57,8.110
58,8.189
59,8.194
60,9.131
61,9.159
62,9.162
63,9.172
64,9.348
65,10.396
66,10.403
67,10.425
68,11.568
69,11.780
70,12.183
71,12.313
72,12.840
73,12.886
74,13.372
75,13.384
76,13.431
77,13.504
78,13.864
79,14.656
80,14.901
81,14.904
82,14.954
83,16.491
84,19.039
85,22.361
86,23.088
87,25.778
88,34.043
89,35.305
90,192.090
91,193.328
92,193.950
93,195.168
94,198.260
95,198.698
96,200.582
97,202.808
98,211.850
99,212.124
100,212.124
