Percentage served,Time in ms
0,0.583
1,0.677
2,0.729
3,0.750
4,0.829
5,0.844
6,0.856
7,0.895
8,0.896
9,0.945
10,0.950
11,0.964
12,0.994
13,1.035
14,1.044
15,1.069
16,1.165
17,1.165
18,1.175
19,1.210
20,1.235
21,1.256
22,1.311
23,1.344
24,1.349
25,1.478
26,1.488
27,1.565
28,1.641
29,1.650
30,1.671
31,1.711
32,1.721
33,1.741
34,1.745
35,1.759
36,1.765
37,1.824
38,1.847
39,1.855
40,1.862
41,1.890
42,1.945
43,1.953
44,1.955
45,1.962
46,1.985
47,1.997
48,2.008
49,2.010
50,2.031
51,2.035
52,2.038
53,2.054
54,2.055
55,2.067
56,2.078
57,2.078
58,2.079
59,2.097
60,2.101
61,2.112
62,2.163
63,2.222
64,2.277
65,2.301
66,2.308
67,2.481
68,2.497
69,2.523
70,2.763
71,2.862
72,2.887
73,2.940
74,3.155
75,3.818
76,4.556
77,4.653
78,5.727
79,5.776
80,6.119
81,6.394
82,6.599
83,9.772
84,9.893
85,10.816
86,14.787
87,18.312
88,27.038
89,33.299
90,177.866
91,178.722
92,179.843
93,180.906
94,181.006
95,181.261
96,182.982
97,184.816
98,184.953
99,185.071
100,185.071
